instrument,plotParameters
CTD-FIXED,"""temperature,salinity,density,oxygen"""
CTD-FIXED-XO2,"""temperature,salinity,density"""
CTD-PROFILER,"""temperature,salinity,density,oxygen"""
FLR-PROFILER,"""chlorophyll,cdom,backscatter"""
FLR-FIXED,"""chlorophyll,cdom,backscatter"""
NUT-PROFILER,"""nitrate"""
NUT-FIXED,"""nitrate"""
PAR-PROFILER,"""par"""
PCO2-PROFILER,"""pco2"""
PCO2-FIXED,"""pco2"""
PH-PROFILER,"""ph"""
PH-FIXED,"""ph"""
SPKIR-PROFILER,"""spectral_irradiance_412nm,spectral_irradiance_443nm,spectral_irradiance_490nm,spectral_irradiance_510nm,spectral_irradiance_555nm,spectral_irradiance_620nm,spectral_irradiance_683nm"""
VELPT-PROFILER,"""velocity_east,velocity_north,velocity_up"""
ADCP-PROFILER,"""velocity_east,velocity_north,velocity_up,percent_good_beam,echo_intensity,correlation_magnitude,error_seawater_velocity"""
D1000-FIXED,"""temperature"""
TRHPH-FIXED,"""resistivity,vent_temperature"""
PRESTA-FIXED,"""seafloor_pressure,temperature"""
HPIES-FIXED,"""seafloor_pressure,temperature"""
TMPSF-FIXED,"""temperature"""
VEL3D-FIXED,"""velocity_east,velocity_north,velocity_up,echo_intensity,correlation_magnitude,seawater_pressure_mbar"""
