refDes,calculations,runDuringHarvest
RS03AXPS-SF03A-3B-OPTAAD301,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
RS03AXBS-LJ03A-11-OPTAAC303,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
CE04OSPS-SF01B-3B-OPTAAD105,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
RS01SBPS-SF01A-3B-OPTAAD101,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
RS01SLBS-LJ01A-11-OPTAAC103,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
CE04OSBP-LJ01C-08-OPTAAC104,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
CE02SHBP-LJ01D-08-OPTAAD106,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
CE02SHBP-LJ01D-09-PCO2WB103,pco2_test_function,True
RS01SBPS-PC01A-4B-PHSENA102,ph_advanced_flags,True
RS03AXPS-SF03A-4A-NUTNRA301,nutnr_plant2023|nutnr_advanced_flags,False
