variable,min,max,profileMin,profileMax,label,colorMap,static
temperature,0,15,5,20,"degrees C",thermal,FALSE
salinity,31,35,30,35,"psu",haline,FALSE
density,1020,1045,1022,1030,"kg/m^3",dense,FALSE
oxygen,0,550,0,550,"uMol/kg",matter,FALSE
nitrate,0,50,0,30,"uMol",deep,FALSE
chlorophyll,0,3,0,3,"mg/m^3",tempo,FALSE
cdom,0,375,0,375,"ppb",tempo,FALSE
backscatter,0,3,0,3,"m-1",tempo,FALSE
par,0,100,0,100,"par",solar,FALSE
pco2,200,2000,200,1200,"uMol",matter,FALSE
ph,6,9,7.4,8.4,"pH",matter,FALSE
resistivity,0,5,0,5,"volts",matter,FALSE
spectral_irradiance_412nm,-5,150,-5,150,"uW/m2/nm",thermal,FALSE
spectral_irradiance_443nm,-5,150,-5,150,"uW/m2/nm",thermal,FALSE
spectral_irradiance_490nm,-5,150,-5,150,"uW/m2/nm",thermal,FALSE
spectral_irradiance_510nm,-5,150,-5,150,"uW/m2/nm",thermal,FALSE
spectral_irradiance_555nm,-5,150,-5,150,"uW/m2/nm",thermal,FALSE
spectral_irradiance_620nm,-5,150,-5,150,"uW/m2/nm",thermal,FALSE
spectral_irradiance_683nm,-5,150,-5,150,"uW/m2/nm",thermal,FALSE
velocity_east,-2.5,2.5,-2.5,2.5,"m/s",balance,FALSE
velocity_north,-2.5,2.5,-2.5,2.5,"m/s",balance,FALSE
velocity_up,-4,4,-4,4,"m/s",balance,FALSE
percent_good_beam,0,100,0,100,"percent",matter,TRUE
vent_temperature,0,400,0,400,"degrees C",thermal,FALSE
